Comentario,Aspecto,Polaridad
los casos de uso no incluyen todos los requerimientos del caso de estudio si bien estan escritos algunos de los requerimiento no funcionan de manera correcta debido a la mala asociacion de los mismos con los demas casos de uso la interaccion con el objeto de cada caso de uso es incorrecta debido a la utilizacion de multiples objetos dentro de una misma funcionalidad no hay registro de automoviles no hay una correcta validacion de usuario y permite que tanto empleado como cliente creen un nuevo usuario y este caso de uso no lleva a ningun lado por lo tanto la solucion propuesta tiene funcionalidades incorrectas de todos los requerimientos descritos,casos,0
la caratula cumple con todos los parametros requeridos para la presentacion del trabajo y el documento cuenta con el enunciado de los requerimientos que describe la ejecucion del trabajo no existen errores ortograficos,caratula,2
no existe codigo para cada caso de uso existen varias islas la definicion del nombre de los casos de uso es correcta pero no hay orden,codigo,1
herencia no esta aplicada correctamente la aplicacion de includes y extends es inentendible no existe una logica en la asociacion entre casos de uso,herencia,0
no se incluyen algunos requerimientos del caso de estudio ni se implementan algunas funcionalidades,requerimientos,0
la caratula sin errores ortograficos,caratula,2
la comunicacion entre algunos casos de uso es incorrecta los casos de uso no contiene codigo por tanto no esta ordenada y existen casos de usos aislados,comunicacion,0
tiene algunos procesos sin secuencia logica no esta aplicado de forma correcta el extend en el caso de uso consultar automovil falta comunicacion entre casos de usos no han aplicado herencias entre actores,procesos,0
no existe funcionalidad correcta de algunos procesos y el diagrama no cumple con todos los requerimientos del enunciado,funcionalidad,0
la caratula sin errores ortograficos,caratula,2
existe mala comunicacion entre los actores y caso de uso algunos no cumplen con la sintaxis algunos casos de uso tienen islas y no estan ordenados,comunicacion,0
la solucion tiene procesos sin secuencia logica,solucion,0
no incluye algunos requerimientos descritos del casos de uso y no demuestran interaccion con algunos objetos,requerimientos,0
excelente presentacion de la caratula contiene todos los elementos requeridos,presentacion,2
falto ubicar el codigo de orden a cada caso de uso pero si presenta un debido orden,codigo,1
algunos casos de uso no presenta una correcta secuencia logica por ejemplo el caso de uso generar informe no presenta logica alguna,casos,0
las funcionalidades del diagrama de caso de uso presenta un incorrecto funcionamiento debido a el mal empleo de las asociaciones entre sus casos de uso y actores,funcionalidades,0
si posee todos los parametros indicados en la caratula y no posee errores ortograficos,parametros,2
la estructura si posee todos los elementos y tiene una correcta sintaxis pero no estan ordenados los casos de uso dificultando el entendimiento,estructura,1
cumple con todos los procedimientos y secuencias logica si hay una correcta aplicacion de include y extend entre casos de uso,procedimientos,2
la solucion presentada si cumple con todos los requerimientos estipulados en el caso de estudio y los casos de uso si demuestran una correcta interaccion con los objetos,solucion,2
la caratula cumple con todos los nombres descritos en la rubrica ademas no posee errores ortograficos,caratula,2
el diagrama posee todos los elementos la sintaxis de todos los casos de uso es correcta exceptuando que no presenta el codigo de los casos de uso,diagrama,1
el proceso y la secuencia logica se cumplen totalmente,proceso,2
a los actores empleado y gerente le falta casos de uso para tener acceso al sistema no puede registrar a los usuarios no hay conexion entre registrar contrato_auto y consultar contrato_automovil,actores,0
la caratula sin errores ortograficos,caratula,2
la estructura no fue lo suficientemente ordenada con la union de lineas,estructura,0
no tiene herencia,herencia,0
la autenticacion esta mal planteada,autenticacion,0
la caratula cumple todos los requerimientos sin faltas de ortografia,caratula,2
las estructura se entiende pero pudo estar mas ordenada,estructura,1
se utilizaron correctamente todos los procesos,procesos,2
se cumplen con los requerimientos indicados,requerimientos,2
la caratula sin errores ortograficos,caratula,2
al diagrama le hace falta el codigo de caso de uso pero si es posible entender,diagrama,1
no tiene herencia,herencia,0
el funcionamiento es correcto,funcionamiento,2
la caratula sin errores ortograficos,caratula,2
tiene la mayoria de los elementos no contiene codigo los casos de uso,mayoria,1
la mayoria de los procesos tienen secuencia logica el proceso de generar informe no tiene aplicado de forma correcta el extend en el caso de uso imprimir reporte,mayoria,1
la mayoria de los casos de usos tienen funcionalidad correcta y cumple con los requerimientos especificados el caso de uso generar informe tiene una funcionalidad incorrecta,mayoria,1
la caratula tiene errores ortograficos,caratula,0
los casos de uso no contiene codigo y no existe ningun tipo de herencia,casos,0
la secuencia logica es acertada y la aplicacion de include y extend funciona correctamente,secuencia,2
al no existir herencia entre actores no hay formas de que el empleado registre a un nuevo usuario para que pueda hacer el contrato no se encuentra la validacion de codigo de contrato para que el empleado puedo hacer el contrato no existen casos de uso para que el empleado pueda anular un contrato el gerente contiene dos casos de uso que pueden ser extraidos de casos de uso anteriores,herencia,0
la caratula sin errores ortograficos,caratula,2
se visualizan casi todos los casos y estan bien dirigidas las flecha de los includes y extend,casos,2
en esta parte cumple con casi todo lo estipulado y no cuenta con herencia,parte,1
falta un genera contrato no cumple con todo lo estipulado en el caso practico,contrato,0
la caratula contiene los datos correctos pero en el documento les falto colocar la numeracion del enunciado del problema,caratula,1
la elementos se visualiza correctamente aplicaron bien la sintaxis entre los caso de uso pero no estan ordenados,elementos,1
la solucion de ellos tienen la mayoria de los requerimientos y secuencia logica,solucion,2
incluye todos los requerimientos del caso de uso y existe funcionalidad entre los objetos,requerimientos,2
la caratula no tiene errores ortograficos,caratula,2
le falta llevar el orden en los casos de uso,orden,0
los procedimientos son incorrectos,procedimientos,0
si posee fuincionalidad pero hay que mejorar en las relaciones con los cu,fuincionalidad,1
la caratula esta totalmente adecuada describe los requerimientos de lo que se desea obtener sin errores ortograficos,caratula,2
el diagrama de caso de uso esta bastante adecuado contiene casi todos los casos de usos pero presenta errores en los objetos y no tiene aplicada la herencia,diagrama,1
el diagrama de caso de uso esta adecuado pero no se esta aplicando bien la herencia y el uso de include y extends,diagrama,1
el diagrama de caso de uso tiene funcionamiento de algunos de los requerimientos pero en el caso del gerente el no registra contrato,diagrama,1
la caratula no tiene errores ortograficos,caratula,2
cumple con los elementos una sintaxis correcta pero no se encuentran los codigos de caso de uso por prioridad,elementos,1
cumple con la mayoria de los procesos le falta herencia de los actores empleado y gerente y la secuencia logica se encuentra de una manera clara y entendible,mayoria,2
cumple con todos los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con los objetos dados,requerimientos,2
la caratula esta completa y el enunciado sin errores,caratula,2
la estructura se muestra bien clara sin errores de sintaxis pero se observa que no tiene el codigo de caso de uso,estructura,1
el procedimiento se observa bastante simple con aplicacion de includes y nula aplicacion de extends ademas de que algunos casos de usos terminan sin algun proceso,procedimiento,1
la funcionalidad podria darse correctamente pero no abarca todos los requerimientos,funcionalidad,1
el documento consta de todo lo necesario dentro de la caratula y asi mismo no contiene errores ortograficos en el contenido mostrando una buena presentacion,documento,2
dentro de la estructura no contiene todos los elementos esta incompleto mostrando la falta de aplicacion de herencia codigos de caso de uso y eso muestra un desorden dentro de lo que se desea mostrar,estructura,0
en el procedimiento se indica que no se hace uso de la aplicacion del extend aunque no es obligatorio es recomendable al menor tener uno o dos,procedimiento,0
no incluye todos los requerimientos del caso de uso pero los casos de uso mostrando si tienen una funcionalidad de algunos requerimientos,requerimientos,1
en la caratula le falto poner la carrera en que estudia,caratula,0
le falto los codigos de asignacion,codigos,0
aplica bien los include y la herencia pero falto mas logica,include,1
en el funcionamiento hace include de algo que no se a registrado,funcionamiento,0
la caratula tiene errores ortograficos,caratula,0
en los casos de usos no existe el codigo de prioridad que lo identifique,casos,0
no existe la aplicacion de extend entre los casos de usos no hay una secuencia logica entre el gerente y los casos de usos consultar usuario consultar automovil y consultar furgoneta,aplicacion,0
no existe la funcionalidad de gestionar las altas y bajas de los vehiculos por parte del gerente por lo tanto no hay una secuencia logica ya que no se puede reservar un automovil si no existe un registro anterior,funcionalidad,0
la caratula tiene errores ortograficos,caratula,0
si cumple con la secuencia y indica cada caso de uso con verbo  objeto,secuencia,2
no tiene ningun extend no tiene su respectivo codigo generar reserva deberia ser extend y en el cliente no se puede eliminar una reserva sin antes haberla consultado,ningun,0
el funcionamiento es parcialmente correcto el gerente debe consultas informes tambien,funcionamiento,1
la caratula tiene errores ortograficos,caratula,0
las estructura se entiende y esta ordenada,estructura,2
falta implementar herencia,herencia,0
el funcionamiento es parcialmente no es correcto no hay validacion para saber si el usuario ya esta logueado,funcionamiento,0
la caratula no contiene el nombre de la carrera ni del trabajo entregado y su enunciado consta con menos de  errores ortograficos,caratula,0
muestra la mayoria elementos aunque usa objetos que no estan previamente creados no usa la sintaxis correcta para describir los casos de uso y tampoco se le ha colocado sus respectivos codigos por lo cual no se encuentran ordenados la herencia entre actores no cumplen con los requerimientos solicitados,mayoria,0
como se menciona anteriormente la herencia no esta aplicada de forma correspondiente con los requerimientos y no hace uso del extend y existen errores en la aplicacion de los casos de uso porque no se tiene claro que hace el cliente y el empleado,herencia,0
el funcionamiento presenta varios errores motivo por el cual la solucian tiene una funcionalidad incorrecta de algunos de los requerimientos descritos en el caso de estudio,funcionamiento,0
el documento contiene falta ortografica en la fecha del periodo academico el documento no contiene el tema del trabajo,documento,0
el documento no contiene los codigos de sus respectivos casos de usos,documento,0
el documento no cumple con los requerimientos del uso del extends,documento,0
el documento obtiene la solucion de una manera concreta,documento,2
la caratula no tiene errores ortograficos,caratula,2
tiene alguno de los elementos le falta codigo en los casos de uso no esta ordenado,elementos,1
la mayoria de los procesos no tienen secuencia logica y aplican objetos diferentes lo que no permite una buena comunicacion entre casos de uso existe aplicacion de incluye de forma incorrecta,mayoria,0
la mayoria de los casos de usos tienen funcionalidad incorrecta y no cumple con los requerimientos especificados,mayoria,0
en este parte no cumple con todo lo que estipula en el archivo falta nombre de carrera y error de al escribir el periodo,parte,0
se visualizan casi todos los casos la aplicacion de include es incorrecto y no existen extend,casos,0
en la parte del caso de uso generar reserva y consultar codigo esta de mas y estan realizando una cadena de includes,parte,0
falta en la parte del gerente dar alta y baja a la flota y parte del cliente falta el autenticar no cumple con todo lo estipulado en el caso practico,parte,0
la caratula tiene errores ortograficos,caratula,0
los casos de uso no cuenta con codigo y utiliza mal la flecha de herencia,casos,0
solo aplica include y herencia,aplica,1
el funcionamiento es correcto,funcionamiento,2
la caratula presenta errores no contiene nombre de la carrera ni tema del trabajo el periodo academico existe error en el ano academico,caratula,0
no contiene el uso de extends ni herencia los casos de usos no tienen codigo y por ende no tiene orden,uso,0
la aplicacion del include presenta errores al invocar casos de usos en los cuales se deberian usar extends para enviar informacion lo cual da a entender que no tiene una secuencia logica,aplicacion,0
el caso de uso no tiene funcionamiento el caso de autor gerente le faltan la funcionalidad de dar de alta y baja,caso,0
no contiene el nombre de la carrera ni el tema,nombre,0
se visualiza una sintaxis correcta no contienen los codigos de caso de uso por prioridad,sintaxis,1
cumple con los procesos include y extend y una herencia y estan conectados por una secuencia correcta a excepcion de un caso de uso en el actor gerente donde se encuentra un caso de uso no interactua con ninguno,procesos,2
cumple con los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con los objetos dados a excepcion de generar_informe porque se encuentra solo y no especifica que necesita hacer,requerimientos,2
la caratula cuenta con todo lo requerido y el enunciado esta comprensible y sin errores ortograficos,caratula,2
el diagrama cuenta con todos los elementos pero en la sintaxis los casos de uso no tiene codigo por lo que dificulta un poco el entendimiento del diagrama,diagrama,1
cuando el cliente autentica usuario invoca a una consulta por lo que no le veo un registro de cliente,cliente,0
la funcionalidad del diagrama no muestra algunas cosas que se piden en los requerimientos como por ejemplo cancelar la reserva,funcionalidad,0
la caratula esta complete y el enunciado esta bien detallado,caratula,2
los casos de uso no cuenta con un codigo y el entendimiento es un poco complicado no esta ordenado,casos,0
su secuencia logica esta bien definida con las comunicaciones de caso de uso,secuencia,2
el diagrama cumple con la mayoria de los requerimientos que el sistema requiere como el de gestionar reserva y registrar con un contrato,diagrama,2
la caratula no tiene errores ortograficos,caratula,2
existe una buena comprension del caso de uso debido a que se encuentran la mayorias de elementos descritos en el caso de estudio,comprension,2
la mayoria de los procesos cuentan con una secuencia logica al empleado le falta introducir el codigo de la reserva para registrar con exito un contrato,mayoria,2
la gran parte de los requerimientos cumple una funcionalidad idonea en base al caso de estudio,parte,2
la caratula cumple con todos los nombres descritos en la rubrica y ademas no posee errores ortograficos,caratula,2
el diagrama posee todos los elementos la sintaxis de todos los casos de uso es correcta exceptuando que no presenta el codigo de los casos de uso,diagrama,1
el proceso se cumple correctamente pero flaquea en la logica de algunos casos de uso,proceso,1
algunos casos de uso tienen diferente verbos al momento de realizar include tiene la mayoria de requerimientos,casos,1
la caratula consta de exceso de contenido mas de lo pedido el enunciado no contiene errores ortograficos,caratula,1
la estructura es facil de comprender la sintaxis no esta muy clara existen sentidos de flechas incorrectos y no se encuentra ordenado ya que no cuenta con el codigo en el objeto,estructura,0
en el proceso de aplicar include existen incoherencia en la aplicacion la secuencia logica si esta clara,proceso,0
no incluye todos los requerimientos del caso de estudio existen casos que no demuestran funcionalidad con el actor,requerimientos,0
la caratula no tiene errores ortograficos,caratula,2
no tiene el codigo de caso de uso,codigo,0
la solucion presentada tiene pocos procesos con secuencia logica,solucion,0
el diagrama muestra todos los requisitos solicitados,diagrama,2
la caratula cumple todos los requerimientos sin faltas de ortografia,caratula,2
las estructura se entiende pero esta muy desordenada,estructura,1
falta implementar herencia y mas extends,herencia,0
se cumplen con los requerimientos indicados,requerimientos,2
la caratula y el enunciado esta bien detallado como se pide en la rubrica de calificacion,caratula,2
al diagrama le hace falta el codigo de caso de uso pero si es posible entender,diagrama,1
algunos casos de uso que aplican include no tienen concordancia con respecto al objetos multiples objetos,casos,0
si cumple con la mayoria de los requerimientos de forma correcta,mayoria,2
contiene caratula y enunciado correcto,caratula,2
tiene algunos elementos le falta codigo en los casos de uso la comunicacion entre algunos casos de uso es incorrecta,elementos,1
algunos procesos tienen secuencia logica el proceso registrar contrato no tiene secuencia logica,procesos,1
algunos casos de usos tienen funcionalidad correcta y cumple con los requerimientos especificados,casos,1
la caratula cumple con todos los requerimientos descritos en la rubrica y ademas no contiene errores ortograficos,caratula,2
los casos de estudio no contiene su respectiva numeracion para poder diferenciarlos,casos,0
existen casos de uso que tienen include con las flechas en direccion contraria,casos,0
el empleado no tiene un caso de uso para poder registrar a un nuevo usuario  ademas no hay casos de uso para que el empleado valide el codigo de reserva web de los vehiculos,empleado,0
la caratula tiene la estructura adecuada,caratula,2
se visualizan todos los casos de uso tienen bien los include y extend pero no tienen el codigo del cada caso de uso,casos,1
en la parte de crear usuario es incorrecto deberia consultar para validar el usuario,parte,0
falta en la parte del gerente dar alta y baja a la flota y parte del cliente falta cancelar reserva no cumple con todo lo estipulado en el caso practico,parte,0
la caratula no tiene errores ortograficos,caratula,2
a la estructura le falta secuencia y no posee el orden en los casos de uso,estructura,0
la solucion presentada tiene pocos procesos con secuencia logica,solucion,0
falta mejorar el funcionamiento de los casos de uso,funcionamiento,0
la caratula esta totalmente adecuada describe los requerimientos de lo que se desea obtener sin errores ortograficos,caratula,2
el diagrama de caso de uso esta bastante adecuado contiene casi todos los casos de usos,diagrama,2
el diagrama de caso de uso tiene la mayoria de los procesos de forma correcta y se estan aplicando bien la herencia y el uso de include y extends,diagrama,2
el diagrama de caso de uso tiene funcionamiento pero en el caso del gerente le falta la funcionalidad de dar de baja,diagrama,1
la caratula tiene la estructura adecuada,caratula,2
se visualiza una sintaxis correcta pero no contienen los codigos de caso de uso,sintaxis,1
cumple con los procesos include extend y una herencia correcta y estan conectados por una secuencia correcta,procesos,2
cumple con los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con todos los objetos,requerimientos,2
la caratula cumple con todos los parametros requeridos para la presentacion del trabajo y el documento cuenta con el enunciado de los requerimientos que describe la ejecucion del trabajo no existen errores ortograficos observacion debido a que el documentos esta impreso en bn algunos elementos del documento son complicados de leer,caratula,2
los casos de uso cumplen con la sintaxis de verbo en infinitivo  objeto no existen codigos para cada caso de uso por lo que no se determina una secuencia u orden de casos de uso no se aplica herencia existe una isla,casos,0
se aplica los estereotipos includes y extends de manera correcta entre casos de uso no existe aplicacion de herencia entre actores,estereotipos,1
una de las funcionalidades registrar informes esta asociada con el actor incorrecto empleado quien hace los informes es el gerente y no especifica sobre que realiza los informes existe una isla,funcionalidades,0
el documento no tiene la facultad  tampoco la carrera ni el tema del trabajo,documento,0
no tiene un orden de codigo ni comunicacion entre todos los actores ,orden,0
no tiene correcta aplicacion de include extend y herencia de todos los casos de usos,aplicacion,0
no tiene una correcta funcionalidad entre todos los casos de usos,funcionalidad,0
la caratula contiene errores ortograficos,caratula,0
no tiene una correcta visualizacion de la solucion contiene la mayoria de los elementos pedidos pero hay uso de herencias,visualizacion,1
no existen herencias la mayoria de los casos de uso existe comunicacion y si existe el correcto uso de extend e include si hay comunicacion entre los casos de uso pero en cierto casos de uso hay un mal uso del include,herencias,1
al no encontrar tanto errores cumple con lo requerido pero no llega a un alto nivel de funcionamiento,errores,1
contiene menos de un error ortografico no contiene nombre de carrera y tampoco su facultad,error,0
su orden si lo considero correcto pero faltan los codigos de los caso de uso,orden,1
faltan las herencias entre actores la cual indica que un actor no puede usar los caso de uso de los otros dos restantes por lo consiguiente las asociacion de casos de usos con actores no es completa,herencias,0
el funcionamiento es correcto,funcionamiento,2
no se puede visualizar bien los datos en la portada pero si contiene el enunciado,datos,1
no tiene un orden no se puede visualizar bien tiene datos que no concuerdan el uso de las flechas no se sabe con exactitud de donde hacia donde va,orden,0
no se ha utilizado la herencia respectiva en el caso de estudio y no hay una buena comunicacion ya que no se utiliza el extends de la manera adecuada,herencia,0
cumple con la mayoria de los requerimientos solicitados pero no se llega a la funcionalidad requerida,mayoria,1
existen algunos errores ortograficos en la caratula y en los casos de usos los demas puntos estan correctos,errores,1
la estructura esta bien contiene correctamente los actores y sus respectivas comunicaciones pero hace falta el ordenamiento de los casos de usos con sus respectivos codigos de acuerdo a la prioridad de cada uno,estructura,1
esta correctamente aplicado el uso de extends e includes pero se ha aplicado mal la herencia dandole funcionalidades que no respectan al empleado en cuanto a secuencia logica esta bien,uso,1
la mayoria tiene el funcionamiento correcto pero existe un caso de uso el cual maneja mal el objeto y al momento de abstraer los datos no encontrara nada de lo requerido lo cual no es correcto ademas no se apega a los requerimientos del caso de estudio dando funcionalidades que no respectan al empleado asi mismo realiza herencias entre actores las cuales nunca fueron descritas,mayoria,1
la caratula tiene errores ortograficos,caratula,0
falta codigo de caso de uso,codigo,0
falta herencia las flechas de los include y extend son poco visibles,flechas,0
los casos de uso presentan la mayoria de los requerimientos e interactuan de una manera correcta,casos,2
la caratula tiene errores ortograficos,caratula,0
el trabajo no posee una enumeracion de los casos de uso y no lleva un orden no posee herencia,trabajo,0
el trabajo no posee las flechas correspondiente de extend y include,trabajo,0
el trabajo no posee una funcionalidad correcta a los requerimientos,trabajo,0
la estructura de la caratula y su contenido son correctos y en la descripcion del problema no se han encontrado faltas ortograficas,estructura,2
los casos de uso cumplen la relacion verbo infinitivo y verbo no hay codigos de casos de uso y existe una isla no se puede visualizar las flechas de aplicacion del include y extend y no existe herencia entre actores,casos,0
el diagrama presenta la aplicacion correcta entre casos de uso con include y extend aunque no hay existencia de herencia en el diagrama se puede ver una aplicacion logica y secuencial y una buena asociacion entre casos de uso por lo tanto la solucion tiene la mayoria de los procesos con secuencia logica,diagrama,1
incluye todos los requerimientos del caso de estudio el unico error es que vincula el registro de informes con el actor empleado cuando este corresponde al actor gerente aparte de esto los caso de uso demuestran funcionalidad e interaccion con el objeto,requerimientos,2
la caratula es ilegible debido a tu tonalidad negra no se puede identificar los datos pedidos,caratula,0
posee casi todos los elementos requeridos a excepcion de los codigos de casos de usos y la herencia los cuales no se encuentran en el documento,elementos,2
posee las secuencias correspondientes a excepcion de la herencia en la cual no se encuentro yo se alcanza a distinguir,secuencias,2
aunque tiene una funcionalidad correcta la creacion y consulta de los informe no pertenece al actor empleado sino al actor gerente,funcionalidad,1
la caratula del trabajo consta con todo y cada uno de los parametros solicitados el enunciado describe los requerimientos sin ningun error ortografico,caratula,2
la estructura contiene todos los elementos solicitados la sintaxis no esta del todo correcta los verbos estan en infinitivo se combina de forma correcta el verbo y el objeto la comunicacion entre actores y casos de uso asi como entre casos de uso con otros casos de uso es correcta aplicando de forma correcta include y extends segun el enunciado no deberia haber herencia no existen islas y no se toma al sistema como un actor faltan los codigos en los casos de uso la estructura no esta ordenada ya que no hay codigos en cada caso de uso las lineas de conexion representan una asociacion adecuada entre el actor y los casos de uso asi como entre casos de uso,estructura,1
la solucion contiene la aplicacion de include y extend de forma correcta la herencia entre actores no se ha realizado de la forma correcta segun el analisis de los requerimientos no podria haber herencia entre los actores la solucion cuenta con un aplicacion logica y secuencial en la mayoria de las asociaciones entre actores y casos de usos por ejemplo el actor empleado no puede generar informes segun los requerimientos asi como el caso de uso reservarautomovil deberia actuar sobre el objeto alquiler y no sobre automovil,solucion,1
la solucion cumple con hacer funcionales la mayoria de los requerimientos representados en varios casos de uso de manera correcta exceptuando los errores en la herencia en la asignacion incorrecta de funcionalidades al actor empleado y la incorrecta representacion del alquiler del objeto automovil,solucion,1
la caratula no tiene errores ortograficos,caratula,2
tiene algunos de los elementos le falta codigo en los casos de uso no esta ordenado la comunicacion entre algunos casos de uso es incorrecta,elementos,0
algunos procesos no tiene secuencia logica manipula objetos con nombres diferentes el extend esta aplicado de forma incorrecta,procesos,0
algunos procesos no tiene funcionalidad correcta y no cumple con los requerimientos especificados,procesos,0
el documento se encuentra bien estructurado pero tiene algunas falta ortografica en la parte de la caratula falta tildes en palabras claves,documento,1
los casos de uso le falta el codigo para poder distinguirlo por lo cual el resto del diagrama se encuentra bien estructurado,casos,2
la herencia entre el empleado y gerente no se encuentra en el enunciado por lo cual el gerente no debe tener las funcionalidades del empleado y el caso de uso reservar automovil no se encuentra bien definido,herencia,0
el funcionamiento de los casos de uso se encuentran bien estructurados pero el empleado no puede generar un reporte el cual le corresponde al gerente,funcionamiento,1
muestra una buena presentacion consta de todo lo requerido dentro de la caratula y asi mismo libre de errores en el documento,presentacion,2
la estructura si consta de lo requerido en el caso de uso hay comunicacion entre caso de usos buen uso de las flechas y de lo demas,estructura,2
los procedimientos contienen todos los procesos aplicados de manera correcta asi mismo la secuencia logica aplicada habiendo una asociacion entre actores y casos de usos,procedimientos,2
el funcionamiento cumple con la mayoria de funcionalidades y requerimientos del caso de estudio,funcionamiento,2
la caratula esta completa y el enunciado sin errores,caratula,2
la estructura esta ordenada se observan todos los elementos y se observa claramente lo que se desea realizar,estructura,2
el procedimiento se observa bastante completo y bien aplicado en sus includes y extends,procedimiento,2
la funcionalidad no se ve afectada ya que el procedimiento esta correcto y ademas estan todos los requerimientos,funcionalidad,2
la caratula cumple con todos los nombres descritos en la rubrica ademas no posee errores ortograficos,caratula,2
el diagrama posee todos los elementos la sintaxis de todos los casos de uso se cumple tambien,diagrama,2
el proceso y la secuencia logica se cumplen totalmente,proceso,2
el diagrama posee todos los casos de uso solicitados en los requerimientos,diagrama,2
tener en cuenta las faltas ortograficas a pesar que sean letras en mayusculas en general esta muy bien realizada la caratula y el enunciado,cuenta,2
la estructura de la tarea esta muy bien realizada es muy entendible pero falta ordenar los casos de usos con su respectivo codigo que reflejan la prioridad de cada uno,estructura,1
esta correctamente aplicado el uso de extends e includes pero se ha aplicado mal la herencia tomando en cuenta que los requerimientos del caso no permiten realizarlo en cuanto a secuencia logica esta excelente,uso,1
el funcionamiento esta correcto pero existen un par de casos de usos que utilizan un objeto tratando de generalizar varios objetos lo cual no es correcto ademas no se apega a los requerimientos del caso de estudio realizando herencias entre actores las cuales nunca fueron descritas,funcionamiento,1
el documento del trabajo evaluado esta realizado de forma correcta aunque tiene informacion adicional a la solicitada razon por la cual tiene la calificacion maxima la caratula no describe los nombres del grupo ni de los integrantes y el enunciado tiene errores ortograficos menores a ,documento,1
la estructura del trabajo evaluado esta realizado correctamente por lo cual se hace de facil entendimiento al momento de revisarlo,estructura,2
la solucion realizada por el estudiante para el caso de estudio consta de todos los procedimientos y secuencia logica por lo cual su sistema funcionara de manera correcta,solucion,2
el funcionamiento del sistema como se describio en el comentario de arriba es correcto por lo cual cumple con los requerimientos solicitados en el caso de estudio,funcionamiento,2
la caratula y el enunciado esta bien detallado como se pide en la rubrica de calificacion,caratula,2
el diagrama cuenta con los elementos la sintaxis esta correcta y ademas se encuentra muy bien estructurada,diagrama,2
los procedimientos y la secuencia logica es correcta,procedimientos,2
cumple con todos los requerimientos solicitados y su funcionalidad es correcta,requerimientos,2
la caratula no tiene errores ortograficos,caratula,2
existen algunas inconcordancia con el actor usuario no autenticado las herencias no estan bien organizadas,inconcordancia,0
el empleado y el gerente no pueden registrar su propio usuario,empleado,0
